,source,target,length,Name_2,ID_2,geometry,unique_id
73,214991,1093133,15041.11634,,,"MULTILINESTRING ((7.162635672425765 58.496487187242, 6.907392480457432 58.51622359782285))",214991_1093133
74,1093133,460596,10477.02711,,,"MULTILINESTRING ((6.907392480457432 58.51622359782285, 6.735121181820974 58.54322625253501))",1093133_460596
75,460596,215924,14460.83693,,,"MULTILINESTRING ((6.735121181820974 58.54322625253501, 6.630619778183344 58.66103684394553))",460596_215924
76,215924,1250349,19921.15214,,,"MULTILINESTRING ((6.630619778183344 58.66103684394553, 6.317866780899977 58.58773349893198))",215924_1250349
77,1250349,1173779,10076.39081,,,"MULTILINESTRING ((6.317866780899977 58.58773349893198, 6.166666803104279 58.54365739261926))",1250349_1173779
78,1250349,359194,13844.36719,,,"MULTILINESTRING ((6.317866780899977 58.58773349893198, 6.407586390409412 58.47264081469726))",1250349_359194
79,1757237,1795859,14568.92224,,,"MULTILINESTRING ((6.661397009073949 59.88286522047728, 6.401834610667297 59.874164856033715))",1757237_1795859
80,358507,358799,17549.24798,,,"MULTILINESTRING ((5.548978434751737 59.48815678039793, 5.274904889818147 59.41506190642743))",358507_358799
81,358507,1622547,12642.74688,,,"MULTILINESTRING ((5.548978434751737 59.48815678039793, 5.443418445249007 59.58818222697835))",358507_1622547
82,227045,771454,15100.22592,,,"MULTILINESTRING ((8.787191594268114 60.66794867343125, 8.705387519528387 60.797412937201905))",227045_771454
83,631488,1264979,20308.13528,,,"MULTILINESTRING ((8.480103545943189 60.598574664439816, 8.112059320020276 60.62070913765581))",631488_1264979
84,633349,228595,14606.56031,,,"MULTILINESTRING ((7.898267869882554 60.50536957599831, 7.69857035357396 60.4189895197702))",633349_228595
85,228595,471754,17383.33666,,,"MULTILINESTRING ((7.69857035357396 60.4189895197702, 7.389493350415951 60.387959038075905))",228595_471754
86,1712596,1799911,13773.78789,,,"MULTILINESTRING ((6.006989664222506 60.37461393910798, 5.761487087234725 60.39733479507519))",1712596_1799911
87,264548,1360672,13076.07198,,,"MULTILINESTRING ((10.697566332010716 60.212993142730284, 10.91749641691013 60.25557087095621))",264548_1360672
88,264548,1617560,17181.38585,,,"MULTILINESTRING ((10.697566332010716 60.212993142730284, 10.388187720771576 60.222342188382605))",264548_1617560
89,264548,294323,12109.85599,,,"MULTILINESTRING ((10.697566332010716 60.212993142730284, 10.528225306432695 60.28175302818981))",264548_294323
93,210723,251243,18216.02049,,,"MULTILINESTRING ((10.651990220348736 60.52275579524095, 10.609884747238555 60.68492595809241))",210723_251243
94,331508,283883,16752.25152,,,"MULTILINESTRING ((10.624690308902055 60.95522546854228, 10.338372609575885 60.89879615681353))",331508_283883
95,407721,1687134,18865.13377,,,"MULTILINESTRING ((8.248850195749085 60.90004237327238, 8.027239795825954 61.030649990956086))",407721_1687134
96,1687134,1660676,15906.76799,,,"MULTILINESTRING ((8.027239795825954 61.030649990956086, 7.736101195407529 61.0517311811359))",1687134_1660676
97,1687134,341373,16659.26599,,,"MULTILINESTRING ((8.027239795825954 61.030649990956086, 8.07147170718949 61.17861263027136))",1687134_341373
98,983396,983236,10521.80204,,,"MULTILINESTRING ((7.252077627199125 61.18565873671875, 7.42977162414939 61.14630415658294))",983396_983236
99,983396,1644196,17535.37706,,,"MULTILINESTRING ((7.252077627199125 61.18565873671875, 7.259905922659837 61.34297539553006))",983396_1644196
100,1678938,1644196,15356.71939,,,"MULTILINESTRING ((7.000309797192912 61.28453110592995, 7.259905922659837 61.34297539553006))",1678938_1644196
101,1678938,1755117,14376.4061,,,"MULTILINESTRING ((7.000309797192912 61.28453110592995, 6.919891525542575 61.16148140510422))",1678938_1755117
102,1678938,1679124,17570.09755,,,"MULTILINESTRING ((7.000309797192912 61.28453110592995, 6.762546129152436 61.39322954394285))",1678938_1679124
103,1679124,1665576,10729.4198,,,"MULTILINESTRING ((6.762546129152436 61.39322954394285, 6.718069018697456 61.48712773206511))",1679124_1665576
104,1665576,1758324,10867.17944,,,"MULTILINESTRING ((6.718069018697456 61.48712773206511, 6.549159293224706 61.54190079492473))",1665576_1758324
105,1758324,1663744,12832.31022,,,"MULTILINESTRING ((6.549159293224706 61.54190079492473, 6.517242999522345 61.65604364292855))",1758324_1663744
106,982293,1647058,13740.7507,,,"MULTILINESTRING ((6.244052716002504 61.52894962797991, 6.169632400257792 61.41089509000023))",982293_1647058
107,1662985,1647058,11554.96883,,,"MULTILINESTRING ((5.959860152114905 61.43644295220999, 6.169632400257792 61.41089509000023))",1662985_1647058
108,157100,342866,10321.80837,,,"MULTILINESTRING ((11.289034863829196 60.72139997105538, 11.288155418273039 60.81403336060002))",157100_342866
109,157100,109296,20537.18237,,,"MULTILINESTRING ((11.289034863829196 60.72139997105538, 11.50872679261953 60.57194187306214))",157100_109296
110,327099,1831511,22963.8308,,,"MULTILINESTRING ((6.892206264937868 62.104263958011934, 6.943024033172228 62.30894094082165))",327099_1831511
111,1831511,1160942,15658.30365,,,"MULTILINESTRING ((6.943024033172228 62.30894094082165, 6.642555059709269 62.29562571294996))",1831511_1160942
112,298536,943350,10011.83935,,,"MULTILINESTRING ((6.084103686808975 62.30103778671543, 6.235154726998502 62.357027388709916))",298536_943350
113,293531,261145,18436.43356,,,"MULTILINESTRING ((10.372998370636275 61.27861725556772, 10.217369621939406 61.42622537227036))",293531_261145
114,140682,236552,17620.0302,,,"MULTILINESTRING ((9.441107105810234 61.84653164071303, 9.250414619715615 61.976579002758996))",140682_236552
115,192275,331022,10206.14318,,,"MULTILINESTRING ((11.335493408309086 61.18366362987274, 11.299513548403052 61.27359635562316))",192275_331022
116,1277213,192932,10115.4074,,,"MULTILINESTRING ((10.845917144102959 61.71264153030175, 10.694652955829065 61.76826776900936))",1277213_192932
117,160015,74306,15884.82599,,,"MULTILINESTRING ((10.640565368238914 62.2056041227834, 10.335892235227217 62.19744462798372))",160015_74306
118,160015,139395,25811.35032,,,"MULTILINESTRING ((10.640565368238914 62.2056041227834, 10.404522454038792 62.17698526272007), (10.404522454038792 62.17698526272007, 10.160966355161083 62.147455471770954))",160015_139395
119,1233018,946172,10538.61748,,,"MULTILINESTRING ((7.997447391504449 62.415240744397735, 7.82102664222215 62.462764883135))",1233018_946172
120,1841573,1841989,10806.78206,,,"MULTILINESTRING ((7.501046622987909 62.6543098005468, 7.381417301109379 62.73419046879383))",1841573_1841989
121,1841573,294485,13417.36843,,,"MULTILINESTRING ((7.501046622987909 62.6543098005468, 7.43590357619575 62.53773084485123))",1841573_294485
122,1841989,331917,24321.05997,,,"MULTILINESTRING ((7.381417301109379 62.73419046879383, 7.827255685128192 62.81093070621914))",1841989_331917
123,1222115,331917,12234.39465,,,"MULTILINESTRING ((7.599078547546958 62.8449945959766, 7.827255685128192 62.81093070621914))",1222115_331917
124,82574,171916,18459.46676,,,"MULTILINESTRING ((10.490688151472442 62.382565245962354, 10.356630745385788 62.536118528184566))",82574_171916
125,81162,600642,17744.98924,,,"MULTILINESTRING ((10.216270782842399 62.63914271471516, 9.993493363572165 62.76111849130077))",81162_600642
126,600642,590166,11907.429,,,"MULTILINESTRING ((9.993493363572165 62.76111849130077, 9.860969680590742 62.849065651484295))",600642_590166
127,578266,590166,13244.94489,,,"MULTILINESTRING ((10.102873298603148 62.892874832462425, 9.860969680590742 62.849065651484295))",578266_590166
128,628231,203573,18766.84063,,,"MULTILINESTRING ((10.967687216228008 63.57040438584388, 11.174599128810218 63.711405601253354))",628231_203573
129,635829,565071,18244.1346,,,"MULTILINESTRING ((11.289057730180852 64.13727888651295, 11.206290382893053 64.29691257405695))",635829_565071
130,579630,567291,19064.7129,,,"MULTILINESTRING ((11.757480417685901 64.14636179393227, 12.097878183840866 64.2313513570321))",579630_567291
131,633194,633646,10054.39028,,,"MULTILINESTRING ((12.740923210808566 64.68906103415571, 12.865747415862504 64.76176406424261))",633194_633646
132,633646,1533131,19247.48206,,,"MULTILINESTRING ((12.865747415862504 64.76176406424261, 13.077152094133766 64.909085366697))",633646_1533131
133,674383,1812590,19269.58681,,,"MULTILINESTRING ((13.37749238120552 65.33163840909017, 13.408063225766234 65.50399194339582))",674383_1812590
134,376004,1122526,16428.48492,,,"MULTILINESTRING ((13.38243599281949 65.59601844295517, 13.279798813135514 65.73714127461857))",376004_1122526
135,658802,474129,19055.95688,,,"MULTILINESTRING ((13.421358399481024 65.96023180582729, 13.749913666524616 66.06665272597306))",658802_474129
136,474672,475387,14771.12615,,,"MULTILINESTRING ((13.84145644099651 66.16522557292598, 14.026575564090074 66.27459920318513))",474672_475387
137,1600133,355270,10863.44329,,,"MULTILINESTRING ((14.62589181099171 66.38742587799526, 14.824487476490367 66.44366720429298))",1600133_355270
138,467676,1123339,17166.90842,,,"MULTILINESTRING ((15.127651738621482 66.45166817757855, 15.351420601655589 66.57708354736366))",467676_1123339
139,1123339,404456,10162.79562,,,"MULTILINESTRING ((15.351420601655589 66.57708354736366, 15.408414744760236 66.66535935408494))",1123339_404456
140,404456,1123454,10430.24581,,,"MULTILINESTRING ((15.408414744760236 66.66535935408494, 15.47669302475705 66.75490002449139))",404456_1123454
141,1124019,478377,14297.09429,,,"MULTILINESTRING ((15.446970410126731 67.20326558362503, 15.511435258122106 67.32901236024847))",1124019_478377
142,478377,424260,10715.367,,,"MULTILINESTRING ((15.511435258122106 67.32901236024847, 15.562755363507593 67.42303670800565))",478377_424260
143,424260,478612,16589.58681,,,"MULTILINESTRING ((15.562755363507593 67.42303670800565, 15.741849857773806 67.5550022461934))",424260_478612
144,425017,1795488,16877.57493,,,"MULTILINESTRING ((15.920490233116507 67.64511231356728, 15.949539685938438 67.79603535570766))",425017_1795488
145,1795488,392720,14645.50953,,,"MULTILINESTRING ((15.949539685938438 67.79603535570766, 15.887298009693476 67.92522929872062))",1795488_392720
146,479509,394321,14996.81047,,,"MULTILINESTRING ((16.011284786482218 68.01985747954345, 15.93114715140356 68.15093835468511))",479509_394321
147,479509,1118545,21280.79955,,,"MULTILINESTRING ((16.011284786482218 68.01985747954345, 16.434148861876494 68.12673266075845))",479509_1118545
148,479509,469697,16240.07416,,,"MULTILINESTRING ((16.011284786482218 68.01985747954345, 15.663781534736984 68.08542861925736))",479509_469697
149,1118545,436501,14159.88668,,,"MULTILINESTRING ((16.434148861876494 68.12673266075845, 16.600711846033114 68.23753563206884))",1118545_436501
150,436501,394321,29399.12009,,,"MULTILINESTRING ((16.600711846033114 68.23753563206884, 15.93114715140356 68.15093835468511))",436501_394321
151,436501,398449,14112.5299,,,"MULTILINESTRING ((16.600711846033114 68.23753563206884, 16.82815809452178 68.33194773995392))",436501_398449
152,398449,481815,16623.15558,,,"MULTILINESTRING ((16.82815809452178 68.33194773995392, 17.21097808768496 68.37923802564967))",398449_481815
153,394321,469697,13309.58025,,,"MULTILINESTRING ((15.93114715140356 68.15093835468511, 15.663781534736984 68.08542861925736))",394321_469697
154,394321,972194,33984.01068,,,"MULTILINESTRING ((15.93114715140356 68.15093835468511, 15.912575380281242 68.45554133850011))",394321_972194
155,972194,1013052,12975.99245,,,"MULTILINESTRING ((15.912575380281242 68.45554133850011, 15.779622290492004 68.56116465968746))",972194_1013052
156,972821,423269,15027.81459,,,"MULTILINESTRING ((15.489227835448398 68.66471222476513, 15.531519021560143 68.79855797188053))",972821_423269
157,423269,470915,10226.6082,,,"MULTILINESTRING ((15.531519021560143 68.79855797188053, 15.613922659706477 68.88527007017474))",423269_470915
158,424475,416805,20056.08581,,,"MULTILINESTRING ((15.811105391871891 69.01628902971072, 16.087142431150376 69.16663826986958))",424475_416805
159,416805,471734,14585.7059,,,"MULTILINESTRING ((16.087142431150376 69.16663826986958, 16.050188669644648 69.29673125778598))",416805_471734
160,1147241,1000116,10567.25814,,,"MULTILINESTRING ((17.13045716169367 69.370028435714, 17.392999833935143 69.39028839744988))",1147241_1000116
161,1000116,1013955,10991.37514,,,"MULTILINESTRING ((17.392999833935143 69.39028839744988, 17.333300477674097 69.48655671310877))",1000116_1013955
162,673183,1012486,11292.01983,,,"MULTILINESTRING ((18.03117708535907 69.60784061419548, 18.32138730630487 69.60997046062023))",673183_1012486
163,1012486,904019,18122.85444,,,"MULTILINESTRING ((18.32138730630487 69.60997046062023, 18.739562450193468 69.68208935145917))",1012486_904019
164,977633,1004588,16743.21573,,,"MULTILINESTRING ((17.596263936513964 68.58169057387546, 17.912641291214122 68.67769358378513))",977633_1004588
165,1004588,913304,16774.54075,,,"MULTILINESTRING ((17.912641291214122 68.67769358378513, 18.17798711828136 68.79318210197937))",1004588_913304
166,914390,906112,14507.5567,,,"MULTILINESTRING ((18.449296971705813 68.92353936589716, 18.69819940455763 69.01800173755662))",914390_906112
167,914390,1041265,22854.00159,,,"MULTILINESTRING ((18.449296971705813 68.92353936589716, 18.577208046889886 69.1232255338375))",914390_1041265
168,906112,1041265,12690.86341,,,"MULTILINESTRING ((18.69819940455763 69.01800173755662, 18.577208046889886 69.1232255338375))",906112_1041265
169,906112,906997,17329.73579,,,"MULTILINESTRING ((18.69819940455763 69.01800173755662, 19.128509512740827 68.99975768280214))",906112_906997
170,906997,1016438,13945.9567,,,"MULTILINESTRING ((19.128509512740827 68.99975768280214, 19.445808169892352 69.05179865055423))",906997_1016438
171,1015421,1023769,17477.93258,,,"MULTILINESTRING ((19.81381088619744 69.15787300093828, 19.939763457413616 69.3080418234275))",1015421_1023769
172,207535,1809046,16242.87949,,,"MULTILINESTRING ((20.52629591048298 69.72585990590967, 20.869896533779425 69.8098650277356))",207535_1809046
173,999186,1044431,13150.47784,,,"MULTILINESTRING ((21.199571694391288 69.83414082681627, 21.500520340637582 69.8902025898515))",999186_1044431
174,1044431,908831,17489.14578,,,"MULTILINESTRING ((21.500520340637582 69.8902025898515, 21.933295162533767 69.84173221258663))",1044431_908831
175,963886,339384,11453.40706,,,"MULTILINESTRING ((22.769601467788533 70.08908599465212, 23.005403308583297 70.02535972238202))",963886_339384
176,339384,1824928,10948.81137,,,"MULTILINESTRING ((23.005403308583297 70.02535972238202, 23.17898004479712 69.94727581865229))",339384_1824928
177,1824928,282608,15356.42077,,,"MULTILINESTRING ((23.17898004479712 69.94727581865229, 23.21755923489104 69.81026704220814))",1824928_282608
178,282608,972185,19980.91257,,,"MULTILINESTRING ((23.21755923489104 69.81026704220814, 23.440297193067195 69.64866631095944))",282608_972185
179,965246,965151,20220.63607,,,"MULTILINESTRING ((23.60132871912281 69.36799787058189, 23.54369160522469 69.18788548745081))",965246_965151
180,965246,971594,15952.35343,,,"MULTILINESTRING ((23.60132871912281 69.36799787058189, 23.790696837224782 69.24165066212454))",965246_971594
181,965151,1100550,10370.9109,,,"MULTILINESTRING ((23.54369160522469 69.18788548745081, 23.328515550457286 69.13521469468797))",965151_1100550
182,965151,971594,11477.87565,,,"MULTILINESTRING ((23.54369160522469 69.18788548745081, 23.790696837224782 69.24165066212454))",965151_971594
183,972696,965937,17348.87197,,,"MULTILINESTRING ((23.486928339807193 69.9893632799504, 23.647760755456627 70.13486272261746))",972696_965937
184,965937,973037,18949.18266,,,"MULTILINESTRING ((23.647760755456627 70.13486272261746, 24.076357808649803 70.22258442785318))",965937_973037
185,973037,987800,18869.11093,,,"MULTILINESTRING ((24.076357808649803 70.22258442785318, 24.36597992066358 70.36060979949384))",973037_987800
186,987800,973761,11515.06946,,,"MULTILINESTRING ((24.36597992066358 70.36060979949384, 24.271312595016767 70.45881210300477))",987800_973761
187,987800,973572,18572.08124,,,"MULTILINESTRING ((24.36597992066358 70.36060979949384, 24.762030714434076 70.4608699493791))",987800_973572
188,973761,1101130,16786.27915,,,"MULTILINESTRING ((24.271312595016767 70.45881210300477, 23.849794697376105 70.51154549280058))",973761_1101130
189,1101130,963862,17805.56467,,,"MULTILINESTRING ((23.849794697376105 70.51154549280058, 23.670891232299034 70.65962659560992))",1101130_963862
190,971594,971489,11885.0542,,,"MULTILINESTRING ((23.790696837224782 69.24165066212454, 23.952575813498278 69.33146964848142))",971594_971489
191,971489,971319,10655.81109,,,"MULTILINESTRING ((23.952575813498278 69.33146964848142, 24.191368734230537 69.3764521588226))",971489_971319
192,971319,971263,19582.90114,,,"MULTILINESTRING ((24.191368734230537 69.3764521588226, 24.681861766734862 69.40747011917183))",971319_971263
193,971263,971084,18528.09606,,,"MULTILINESTRING ((24.681861766734862 69.40747011917183, 25.14814133425391 69.43350612253523))",971263_971084
194,990279,975247,16685.25168,,,"MULTILINESTRING ((25.857272198960622 69.51382075520073, 25.91349720992236 69.66209494389166))",990279_975247
195,975247,990468,10161.07619,,,"MULTILINESTRING ((25.91349720992236 69.66209494389166, 26.08106781626579 69.73216590051328))",975247_990468
196,990468,990592,11101.2333,,,"MULTILINESTRING ((26.08106781626579 69.73216590051328, 26.2400545095223 69.81508777575765))",990468_990592
197,990684,990740,10750.47199,,,"MULTILINESTRING ((26.56674235308071 69.95307041780829, 26.847101979941304 69.95923608430209))",990684_990740
198,990740,990796,17039.03785,,,"MULTILINESTRING ((26.847101979941304 69.95923608430209, 27.29231881939327 69.96337878419159))",990740_990796
199,990796,975457,17293.35789,,,"MULTILINESTRING ((27.29231881939327 69.96337878419159, 27.60188161208045 70.07661506757435))",990796_975457
200,975457,967349,17975.20408,,,"MULTILINESTRING ((27.60188161208045 70.07661506757435, 28.074176213523724 70.08150816420779))",975457_967349
201,967349,1095954,12047.03481,,,"MULTILINESTRING ((28.074176213523724 70.08150816420779, 28.261649002416984 70.1686403713068))",967349_1095954
202,1046101,1097066,10761.33614,,,"MULTILINESTRING ((28.83618121363605 70.07550144759124, 29.09834125500583 70.03949255605829))",1046101_1097066
203,1097066,1033036,19221.51498,,,"MULTILINESTRING ((29.09834125500583 70.03949255605829, 29.334680156190217 69.88744484488221))",1097066_1033036
204,1033036,996372,19180.07545,,,"MULTILINESTRING ((29.334680156190217 69.88744484488221, 29.32222550334381 69.7155718573007))",1033036_996372
205,996372,1008091,12388.17136,,,"MULTILINESTRING ((29.32222550334381 69.7155718573007, 29.642049008288318 69.71163343782099))",996372_1008091
206,150723,75715,17838.0865,,,"MULTILINESTRING ((10.100694921052066 61.6481937649063, 10.224006891187035 61.797185892430804))",150723_75715
207,75715,192932,25044.62165,,,"MULTILINESTRING ((10.224006891187035 61.797185892430804, 10.694652955829065 61.76826776900936))",75715_192932
208,75715,75167,17030.16076,,,"MULTILINESTRING ((10.224006891187035 61.797185892430804, 10.047436678931916 61.92523776631729))",75715_75167
209,75167,173678,18584.53527,,,"MULTILINESTRING ((10.047436678931916 61.92523776631729, 9.962813660624452 62.087182533783555))",75167_173678
210,173678,139395,12332.76913,,,"MULTILINESTRING ((9.962813660624452 62.087182533783555, 10.160966355161083 62.147455471770954))",173678_139395
211,173678,176234,11680.97466,,,"MULTILINESTRING ((9.962813660624452 62.087182533783555, 9.825036516318455 62.169793717782035))",173678_176234
212,577069,577310,18918.88019,,,"MULTILINESTRING ((9.621484877936641 62.326176393877965, 9.589710278376014 62.49528426376437))",577069_577310
213,577310,571898,13516.4618,,,"MULTILINESTRING ((9.589710278376014 62.49528426376437, 9.56434476421085 62.615991142202404))",577310_571898
214,571898,570841,17189.96811,,,"MULTILINESTRING ((9.56434476421085 62.615991142202404, 9.237315898698553 62.58324298604705))",571898_570841
215,426353,391950,15976.46475,,,"MULTILINESTRING ((15.203862126374057 67.29607690368731, 14.833135161815038 67.29403427972393))",426353_391950
216,785888,887480,13111.47559,,,"MULTILINESTRING ((7.993736992102466 59.44596061819328, 7.804153831622513 59.37878138715881))",785888_887480
217,887480,1270672,18037.27029,,,"MULTILINESTRING ((7.804153831622513 59.37878138715881, 7.499128523730123 59.33450527935712))",887480_1270672
218,1270672,1281106,12764.13414,,,"MULTILINESTRING ((7.499128523730123 59.33450527935712, 7.407342550572255 59.43907882452971))",1270672_1281106
219,1270672,1159349,15571.34061,,,"MULTILINESTRING ((7.499128523730123 59.33450527935712, 7.526800285861123 59.19544605721219))",1270672_1159349
220,868805,892553,11681.71748,,,"MULTILINESTRING ((10.084414662448044 59.5092032765453, 10.010051871059183 59.60703378004697))",868805_892553
221,868805,613853,15489.78623,,,"MULTILINESTRING ((10.084414662448044 59.5092032765453, 9.820849141115485 59.54669793153654))",868805_613853
222,1786328,1716930,18491.93307,,,"MULTILINESTRING ((6.344923969729048 60.13451886317435, 6.040852736181423 60.06745990312882))",1786328_1716930
223,1617560,294323,10195.55224,,,"MULTILINESTRING ((10.388187720771576 60.222342188382605, 10.528225306432695 60.28175302818981))",1617560_294323
224,247212,247717,17437.8615,,,"MULTILINESTRING ((9.453881640145854 59.85330530550146, 9.280703695146201 59.98345078281497))",247212_247717
225,247717,616516,16922.36242,,,"MULTILINESTRING ((9.280703695146201 59.98345078281497, 9.07122199919515 60.09339718740343))",247717_616516
226,249980,237223,16345.24302,,,"MULTILINESTRING ((8.50422781406308 60.32846167907519, 8.369236996918588 60.459071317015244))",249980_237223
227,1481196,1380475,15160.18748,,,"MULTILINESTRING ((11.197925494658506 59.61701288262286, 11.405350527617697 59.70362724888839))",1481196_1380475
228,1380475,1380911,17567.13458,,,"MULTILINESTRING ((11.405350527617697 59.70362724888839, 11.52161792487346 59.85000605362914))",1380475_1380911
229,1352939,45147,15974.49858,,,"MULTILINESTRING ((11.76236522198862 59.86049786650815, 12.000879270048982 59.939250955639736))",1352939_45147
230,787061,505392,17720.63969,,,"MULTILINESTRING ((9.478258010098497 59.187647358683094, 9.25330048445809 59.297293836578326))",787061_505392
231,505392,977290,13706.97111,,,"MULTILINESTRING ((9.25330048445809 59.297293836578326, 9.27726474538008 59.419725378203))",505392_977290
232,505392,955480,17788.84516,,,"MULTILINESTRING ((9.25330048445809 59.297293836578326, 9.04440656559269 59.41613268868109))",505392_955480
233,955480,977290,13227.10207,,,"MULTILINESTRING ((9.04440656559269 59.41613268868109, 9.27726474538008 59.419725378203))",955480_977290
234,33684,109296,19115.90071,,,"MULTILINESTRING ((11.523792269549846 60.40053763514354, 11.50872679261953 60.57194187306214))",33684_109296
235,15122,40898,18740.62653,,,"MULTILINESTRING ((12.05971598285532 60.353400838066804, 12.065856351430963 60.52157198049954))",15122_40898
236,294485,1853728,17113.71021,,,"MULTILINESTRING ((7.43590357619575 62.53773084485123, 7.146146447076519 62.613332959522104))",294485_1853728
237,968532,761920,16483.19627,,,"MULTILINESTRING ((8.51282070878726 59.35113202374387, 8.506060865652444 59.20320830142112))",968532_761920
238,968532,751810,25293.11461,,,"MULTILINESTRING ((8.51282070878726 59.35113202374387, 8.808809284380057 59.182046495831464))",968532_751810
239,761920,751810,17463.10067,,,"MULTILINESTRING ((8.506060865652444 59.20320830142112, 8.808809284380057 59.182046495831464))",761920_751810
240,761920,759628,18008.593,,,"MULTILINESTRING ((8.506060865652444 59.20320830142112, 8.50332225028447 59.04155340439781))",761920_759628
241,759628,288587,17428.21832,,,"MULTILINESTRING ((8.50332225028447 59.04155340439781, 8.570531328247121 58.8889978333845))",759628_288587
242,1788318,1695818,14311.91069,,,"MULTILINESTRING ((6.490003451249416 60.74159320214214, 6.686629406981254 60.826783335524965))",1788318_1695818
243,1788318,1721403,16897.26804,,,"MULTILINESTRING ((6.490003451249416 60.74159320214214, 6.494875714278582 60.89322009368687))",1788318_1721403
